unique_id,academic_year,exam_type,course,year,subject,topic,subtopic,question
110,23-24,Mid Term,,1st,chemistry,,,"KL
F

--- Page 3 ---
Considering yourself as an engineer, you need to
create a clear and informative diagram illustrating
the experimental method for determining the
percentages of nitrogen in solid fuels, which
method you will consider to complete this task.
Also, calculate the volume of air required for
complete combustion of 100 L of gaseous fuel
having the composition CO = 40 % CH4= 15%,
H> = 5%, CoHs 20%, No= 10% and remaining
being On».

Analyze and compare the functions of (1) flour
improvers (specifically antistaling agents and
bleaches), (ii) antioxidants, and (111) preservalives
in food products.

OR
In the field of engineering, critically evaluate and
compare the preparation method, properties and

applications of (i) PET {4i) Bakelite (su) Delrin

#** End of Question paper***

5

CO2}A|C

CO3 | An} C?"
111,11-12,Mid Term,,1st,chemistry,,,"--- Page 1 ---
GLA University, Mathura
il-Mid Term Examination, 2011-12

Course: - B.Tech !-Year, I-Sem.
Subject: -Engg.Chemistry Univ. Roll No:-
Time:-90 Minutes Total Marks:-40
Notes:-
1) Answer all questions from Group A (which is) compulsory, Any Two from Group B and Any
Two from Group C.

2) All parts of a question (a, b, etc.) should be answered at one place.

3) Answer should be brief and to-the-point and be supplemented with neat sketches.
4) Any missing or wrong data may be assumed suitably giving proper justification.

5) Figures on the right-hand side margin indicate full marks.

nee

Group A
Attempt all the questions 1x16=16
1. Which ion is not there in naturally occurring zeolite.
a) Na b) Ca** c)AP*> sd) Si*

2. Alkalinity in water can not be due to the presence of

a) HO‘ only b) HO” and HCO, c) HO~ and CO;~ d) CO;” and HCO;
3. Terylene isa

a) Polyglycol b) Polyester c) Polyamide d) polycarbonate
4. Which one is a co-polymer?"
112,11-12,Mid Term,,1st,chemistry,,,"a) PVC b)Buna S c) Teflon d) Nylon-6
5. Another name of PMMA is .
. a) Teflon b) Plexi Glass c) poly methyl methylate © = d) Dacron

6. Monomer Unit of nylon 6

a) Cyclohexanone b) Caprolactum c) Caprolactone d) Adipic acid
7. A system consist of water in equilibrium with its vapor, the degree of freedom is

a) 2 b) 1 c)0 d)3
8. At triple point of water system, The system is

a) Univariant b) Invariant c) Bivariant d) Trivariant
9. The pH value of 0.005 M Ba(OH), solution is

a) 2.3 b) 12 c) 11.7 d) 11.3
10. The correct relationship between various units of Hardness

a) 1 ppm=10 “Fr=70000 ‘Cl b) | ppm=0.1 “Fr=0.07 Cl

b) 10° ppm=0.1 “Fr=0.07 ‘Cl d) 1 ppm=0.01 ‘Fr=0.7 ‘Cl
11. Which is used for removing the temporary Hardness

a) Lime sodaprocess . b) Boiling c) Zeolite process d) Ion exchange

12. The chemical name of Teflon is ..............0.....000.

13. Write the example of basic buffer solution........

14. Write the critical temperature of water.........

15. Water is used in boiler to produce ............... to generate..........
16. Write the structure of Ziegler—Natta catalyst...........

Group B
6x2=12
Attempt any TWO questions

Q -1. Write the preparation, properties and uses of Dacron
Q- 2. Calculate the phase, component and degree of freedom in the following system
(a) CaCO; (s) = CaQ(s) + Cony an ¥
(b) Water (liquid) = __~_—srWater vapour Ps Pum
(c) NHyC\(s) —_— NH,(g) +HCK(g) where
value of
a buffer solution contain 0.015 mole/L NH,OH & 0.025 mole/L NH,Cl. Calculate the pH
solution. (PKy = 1.8x 10°)

in boi lems may appear in
Q- 3. Write the specification of water recommended to be ee boilers. What prob
boiler if water of recommended specification is not?"
113,11-12,Mid Term,,1st,chemistry,,,"Group C
uestions 6x2=12
Attempt any TWOq

Q-1. What do you mean by hardness of water?"
114,11-12,Mid Term,,1st,chemistry,,,removed?
115,11-12,Mid Term,,1st,chemistry,,,"Derive the Henderson's equation

Discuss type of hardness. How temporary hardness can be
for acidic buffer solutions.

OR , y

Derive ppm from mg/L. Discuss limitations and advantages of zeo ite process.

Q -2 State and explain phase rule. Discuss the salient features of water system with a phase

is of tacticity with suitable examples. Discuss the

Q- 3 What is polymer?"
116,11-12,Mid Term,,1st,chemistry,,,"Classify them on the bas oe me spared

mechanism of polymerization of vinylchlori?"
117,17-18,Mid Term,,1st,chemistry,,,"--- Page 1 ---
il-Mid-Term Examination
Even-Semester, 2017-18

Program: B.Tech. Branch: ME, EC, EN, CCV&DA, Year:-I
Subject with Code: . Engg.Chemistry, AHC1101
Time: 1 Hour Maximum Marks: 15

Section-A
Attempt all questions. 3x 2=6 Marks
I. What do you understand by hardness of water?"
118,17-18,Mid Term,,1st,chemistry,,,"Discuss types and the
measure to remove temporary hardness of water.

II. Write the mechanism of anionic addition polymerization.
Ill. Discuss the composition, properties and uses of Potash glass.

Section-B

Attempt all questions. 3x3=9 Marks
I. a) Calculate the temporary and permanent hardness of water
containing the following constituents per litre‘Ca (HCO;))= 486 ppm,
MgClh=190ppm.
b) What is smart material?"
119,17-18,Mid Term,,1st,chemistry,,,"II. Outline Zeolite OR R.O. process for treatment of water.

Il]. Write the preparation and uses of the following polymer.
i)PLA_ ii) Buna-S?"
120,15-16,Mid Term,,1st,chemistry,,,"--- Page 1 ---
B.Tech First Year —1 “ Sem.

Subject —Engineering Chemistry Paper Code —AHC 1001
Time — 90 Mins. Max. Marks - 20
SECTION-A

Note: Att All questi (1X05 = 05 Marks)

Qi. What is the unit of rate constant of First order and second order reactions?"
121,15-16,Mid Term,,1st,chemistry,,,"Q.2 Arrange O2,H2 and He, in order of their increasing bond order.

Q.3 Explain why H,S is a gas while H,0 is liquid?"
122,15-16,Mid Term,,1st,chemistry,,,"Q.4 Write stability order of aliphatic carbocations.

.Q.5 Write any two applications of semiconductors.

SECTION-B
Note: Attempt Any Th uestion: (2x03 = 06 Marks)

Q.1 Assign (E)- or (Z)- configuration to any of the following two compounds:-

av, ci COOH . HoN H

H HO Sr ct i

(a) (b) (c)

Q.2 What do you mean by Smart Material?"
123,15-16,Mid Term,,1st,chemistry,,,"Give any two examples of Smart
Material. :

Q.3 What is hydrogen bond?"
124,15-16,Mid Term,,1st,chemistry,,,"Explain intermolecular hydrogen bond with
suitable examples.

Q4 Ifina first order reaction time taken for the completion of 30 % of the
reaction is 15 min. Calculate the time for change of 75 % of the reaction.

ECTION-C
Note: Attempt Any Three questions ( 3X03 = 09 Marks)

Q.1 Derive second order rate equation when concentration of both the

. reactants is same and also show that time taken for half change of this
reaction is inversely proportional to the initial concentration of the
reactant.

Q.2 What are conformers?"
125,15-16,Mid Term,,1st,chemistry,,,"Explain conformation in n- butane with suitable
diagrams. Discuss their stability with the help of energy diagram. .

Q.3 With the help of Molecular Orbital Theory, draw the M.O. diagrams of NO
& 02 and also calculate their bond order. °

Q.4 Whatis metallic bond?"
126,15-16,Mid Term,,1st,chemistry,,,"Explain band theory (M.O. Theory) of metallic bond.

21/21?"
127,15-16,Mid Term,,1st,chemistry,,,"--- Page 1 ---
22:07 48 - Qe le

56

Printed Pages —2 University Roll no. -----------------~

B.Tech First Year (Even Semester Examination )
Mid - I Examination 2015-16
AHC 1001: Engineering Chemistry

Time 1 Hrs. 30 Minutes Max. Marks: 20
SECTION -A :
NOTE : - Attempt all questions (1x 5=5 Marks)

Q.1 In which order of reaction the time for half change is directly
_ proportional to the initial concentration of the reactant. Also
write the unit of rate constant of this order of reaction.

Q.2 Arrange O2, No and Heg in order of their increasing bond
order.

Q.3 Why ethyl alcohol is soluble in water and dimethyl ether is
insoluble in water?"
128,15-16,Mid Term,,1st,chemistry,,,"0.4 Write stability order of aliphatic carbanions.
0.5 What do you mean by smart material?"
129,15-16,Mid Term,,1st,chemistry,,,"SECTION -B
NOTE :- Attempt any three questions. (2x3=6 Marks)

Q.1 Assign (E)- or ( Z)- configuration to any of the following two
compounds with proper numbering:-

pron k CH3 coon han re
A — J > ~
On HO tse cr H
(aay (ts) t<)

Q.2 What is hydrogen bond?"
130,15-16,Mid Term,,1st,chemistry,,,"Explain inter molecular hydrogen
bond with suitable examples.

Q.3 Explain band theory of metallic bond.

Q.4 Derive rate equation for the reaction
CH3;COOC2Hs + NaOH —~> CH3;COONa + Co2HsOH

( P.T.O.)

--- Page 2 ---
SECTION -C

NOTE :- Attempt any three questions. (3 x 3 = 9 Marks)

Q.1 What are conformers?"
131,15-16,Mid Term,,1st,chemistry,,,"Explain conformation in n-butane with
suitable diagrams. Discuss their stability order also by giving
Energy Level diagram.

Q.2 With the help of Molecular Orbital Theory, draw the Molecular
Orbital diagrams of homonuclear molecule having bond order
2 and Heteronuclear molecule having bond order 3.

Q.3 In the course of reaction
CH3COOCHs (g) —* C2Hs (g)+ He (g) + CO2 (g)
The initial pressure was found to be 0.56 atm. and after 5.4
min. it was 0.84 atm. If the reaction follows first order

kinetics, find the rate constant.

Q.4 Write short note on photovoltaic cell.

keke THE END keKK

17/19 oe?"
132,15-16,Mid Term,,1st,chemistry,,,"--- Page 1 ---
Ii - Mid Term Examination 2015-16
B.Tech First Year — 1“ Sem.

Subject: Engg. Chemistry Paper Code: AHC-1001
Time: 90 Min Max. Marks: 20

ction—A
Note: Attempt All Five Questions 1xS = 5 Marks
Ques.1. Define - Degree of freedom.
Ques.2. Calculate pH of a solution containing 4x 10° gm. NaOH in 100 ml solution.
Ques.3. Write monomers of Terylene.
Ques.4, Give two examples of solid lubricant
Ques.5. Define potable water.

Section B

Note: Attempt Any Three Question 2x3= 6 Marks

Ques.i. Explain “Steam Emulsion Numbe:” and “Amine Point” of a lubricating oil.
Ques.2. Define hardness of water. How temporary hardness of water can be removed?"
133,15-16,Mid Term,,1st,chemistry,,,"Ques.3. Derive Henderson equation for acidic buffer

Ques.4. Differentiate thermosetting and thermoplastic polymers

Section C

Note: Attempt Any Three Question 3x3= 9 Marks

Ques.1. Draw a neat labeled phase diagram of water system and explain the areas and curve on it.

Ques.2. Write stepwise mechanism of given polymerization process.

nC) = ¢H + SnCh + HzO -———> (CH,— CH).
CoHs CoHs
Ques.3. Calculate the amount of lime (74% pure) and soda (90% pure) required for the
treatment of 5,000 litres of water whose ‘analysis is as follows:
Ca(HCOs)= 8. Ippm, Mg(HCOs)2 = 36.5 ppm, CaCh = 27.75 ppm ,
HCI = 3.65 ppm, H2S=3.4 ppm and CaSO, = 34 ppm.
Ques.4. Discuss the Reverse Osmosis or Zeolite process for the treatment of hard water.?"
134,22-23,Mid Term,,1st,chemistry,,,"--- Page 1 ---
COS. . Conceptual understanding of nanomaterials and their applications in the
field of Engineering and medical sciences.

Printed pages: 02 Univ. Roll No. ........eesceceeseeneees

Mid Term Examination, Even Semester 2022-23
B. Tech. I Year (All Branches),@ Semester 77
BCHS 0101: Engineering Chemistry

Time: &Hours Max. Marks: 30
Section —A
Note: All questions are compulso 3 x §=15 Marks
No. | Detail of Question ger

fon a EOS
compare their stability.

What are ceramic materials?"
135,22-23,Mid Term,,1st,chemistry,,,"Enlist important
applications of ceramic materials

OR
Name and draw the structure of monomers of

; C02; A C
i. Nylon 66
ii, Polystyrene
iv. Buna-S

(Any three)
ii. Teflon
Describe the working principle of el] 3

method’ for synthesis of petrol with a wail 3 | CO2

labelled diagram.
| 4 | Define lubricants?"
136,22-23,Mid Term,,1st,chemistry,,,How they are classified?
137,22-23,Mid Term,,1st,chemistry,,,"Sis bi bs
| ee applications(at least three of each) of | 3 |cos| c | m
| and optical glass.

Page 1 of 2

Section — B
Note: All questions are compulso 5 x 3=15 marks

S| teattqwntne [son] co [x

Draw MO diagram of O2 molecule. Also,
calculate bond order and assign magnetic
character.
Write a short note on:

i. Proximate analysis of coal

ii. Neutralization number of lubricants

iii. Cloud point

iv. Calorific value
Flash point of lubricants
Describe how the calorific value can be
determined using the Bomb calorimeter?"
138,22-23,Mid Term,,1st,chemistry,,,"Mention the formula involved with all
descriptors. In a bomb calorimeter
experiment, following data was obtained:
amount of coal = 0.85gm, W = 2.5kg, w =
0.5kg, observed rise in temperature = 2.25

°C, Ca = 38.6 calories, Cr = 6.8 calories, and

Tc = 0.05 °C. Calculate net calorific value if

the coal contains 10 % hydrogen?"
139,22-23,Mid Term,,1st,chemistry,,,"***End of Question paper***

Page 2 of 2?"
140,17-18,Mid Term,,1st,chemistry,,,"--- Page 1 ---
Univ. No. ----
IIl- MID Term Examination

Odd-Semester2017-18
Course: B. Tech. Subject with Code: Engg. Chemistry (AHC1101)

Year:-I Branch: - Computer Science & Engineering
Time: 1 Hour Max. Marks: 15
Section-A
Note:-Attempt all questions (3X2=06 Marks)

1. What do you understand by hardness of water?"
141,17-18,Mid Term,,1st,chemistry,,,"What are
the boiler problems?"
142,17-18,Mid Term,,1st,chemistry,,,"2. Mention technical aspects of Zeolite or ion exchange
process with suitable diagram.

3. Differentiate thermoplastic and eettinn polymer.

Section-B
Note:-Attempt all questions (3X3=09 Marks)

1. (i)Give your views on one glass widely used in Chemical
industry.

(ii)Briefly explain technological applications of
Biomaterial with suitable examples.

2. Standard hard water contains 18 g of CaCO; per litre. 25
ml of this require 30 ml of EDTA solution. 100m! of
sample of water require 20 ml EDTA Solution. The same
sample after boiling required 14 ml EDTA solution.
Calculate the temporary hardness of the given sample of
water.

3. Write the preparation and applications of the following
polymer.

(i) Nylon 6,6
(ii) Bakelite?"
143,17-18,Mid Term,,1st,chemistry,,,"--- Page 1 ---
First Mid-Term Examination Even-Semester, 2017-18

Course: B.Tech. Branch: ME, EC & EN
Subject with Code: Engineering Chemistry (AHC-1101)
Time: | Hour Maximum Marks: 15

Year: First

Section-A

Attempt all questions (3 x 2) = 6 Marks

1. Compute the volume of air required for the complete-combustion———

of 1m?"
144,17-18,Mid Term,,1st,chemistry,,,"* of gaseous fuel having Propene- 46%, Ethylene-2%,
Methane-10%, Hydrogen-4%, Nitrogen-1% and remaining being
Carbon-Dioxide.

2. Explain hydrogen bonding and its types with examples.
3. Assign R-S and E-Z notations to the followings. (with proper

numbering)
i |
chs cKhg
Cmee : S~< -
| rai be af ah
er?"
145,17-18,Mid Term,,1st,chemistry,,,":
Section-B

Attempt all questions (3 x 3)=9 Marks

1.(1) Discuss the classification of Lubricant. (2)
(11) Highlight the industrial applications of ceramics. (1)
2. Analyze the Proximate analysis of Coal with significance.

3. Draw the molecular orbital diagram of N2 molecule. Discuss its
bond order and magnetic behavior also.?"
146,22-23,Mid Term,,1st,chemistry,,,"--- Page 1 ---
(C5: Meurse Name: B.Tech. of

Course Outcome: a) eo ae 5G
aa ee iacmeding. fndamental concepts of chemistry and its applications ia he various Sipnces. 5 | il 4

Mid Term Examination, Odd Semester 2022-23
B.Tech. Year-I"", Semester-I""
Subject Code: (BCHS-0101)
Subject Name: Engineering Chemistry

Time: 2 Hours Maximum Marks: 30

1. All questions are compulsory to attend.
1. All questions of ecad the question paper carefully and write relevant answers accord}

3. Appropriate diagrams (if any) in support of the answer is desirable.
Section —A
3X 5=15 Marks

the energy diagram with their stability order.

stereoisomer with

following polymers (Any Two)
(i) Buna-S (ii) PHB (iii) Nylon66

The magnetic behavior of any chemical molecule depends
upon the number of electrons present in its last orbit
concept, create & molecular orbital

Analyze the Lubricants for its following properties.
(i) Flash Point and Fire point (ii) SEN (iii) Specific Heat

Draw the schematic labelled diagram to show synthesis of
synthetic petrol by Fischer-Tropsch method.

Ee?"
147,17-18,Mid Term,,1st,chemistry,,,"--- Page 1 ---
I-Mid-Term Examination
Odd-Semester, 2017-18

Program: B.Tech. Branch: Computer Science & Engineering,

Year:-l Subject with Code: Engg.Chemistry, AHC1101

Time: 1 Hour Maximum Marks: 15
Section-A

Three questions of 02 marks each (with no internal choice). 3x 2=6 Marks
I. Differentiate Gross and Net Calorific value of a fuel.
II. Draw the potential energy diagram for the various conformations
of n-butane.

Ill. What are ceramics?"
148,17-18,Mid Term,,1st,chemistry,,,How are they classified?
149,17-18,Mid Term,,1st,chemistry,,,"Section-B

Three questions of 03 marks each (with no internal choice). 3x3=9 Marks
1. Explain the following properties of lubricants and discuss their
significance:
a) Flash point and Fire Point b) Cloud and Pour point
II. A petroleum gas has the following composition. Ethane 10%,
Propane 15%, Butane 75%. If 35% excess air is used, find the
volume of air required for complete combustion per m° of the gas.
III. Draw the molecular orbital diagram of O, molecule. Calculate
bond order and predict magnetic behavior.?"
150,15-16,Mid Term,,1st,chemistry,,,"--- Page 1 ---
22:08 4 Qere Tiles4

Printed Pages —2 University Roll no. -----------------~

B.Tech First Year (Even Semester Examination)
Mid - II Examination 2015-16
AHC 1001: Engineering Chemistry

Time 1 Hrs. 30 Minutes Max. Marks: 20
SECTION -A
NOTE : - Attempt all questions (1%* S=5 Marks)

Q.1 What are boiler problems?"
151,15-16,Mid Term,,1st,chemistry,,,"Q.2 In two component system can four phases exit together or
not, Justify.

Q.3 Write two examples of biodegradable polymers .

Q.4 What is fire point?"
152,15-16,Mid Term,,1st,chemistry,,,"Q.5 Calculate the strength of HCl ( in gm./litre ) solution whose
pH is 2.5

SECTION -B
NOTE :- Attempt any three questions. (2 x 3 = 6 Marks)

Q.1 Define hardness of water . What happens when water
containing temporary hardness is boiled?"
153,15-16,Mid Term,,1st,chemistry,,,"Q.2 Calculate the change in pH when 50 ml of 0.2 M NaOH is
added to one litre buffer solution containing 0.1M CHsCOOH
and 0.2 M CH3COONa. pKa of CHsCOOH is 4.7447.

Q.3 Write a note on tacticity .
Q.4 Explain Reverse osmosis process for softening of water with

diagram.

( P.T.O.)

SECTION - C
NOTE :- Attempt any three questions. (3 x 3 = 9 Marks)

Q.1 What is phase rule?"
154,15-16,Mid Term,,1st,chemistry,,,"Apply it to Carbon dioxide system .

Q.2 2000 litres of hard water was passed through a Zeolite
softener for 30 minutes for complete purification. The zeolite
bed was found 50 % exhausted and required 100 litres brine
solution containing 1 gm. / litre NaCl for regeneration.

Calculate hardness of water.

Q.3 Write preparation and uses of any two of the following
polymers :- °
(a) Buna-S (b) Teflon (c) PMMA

Q.4 Discuss the mechanism involved in Thin Film theory of
lubrication .

**t THE END ****?"
155,18-19,,,1st,math,,,"--- Page 1 ---
No. of printed pages: 04 University Roll No. :
END Term, Even Semester Examination, 2018-2019
Sub.:- Engineering Mathematics Il (BMAS-0102)

Time: - 3 Hrs. Course:- B. Tech. I] Sem. Max. Marks:- 50
Note - Attempt BOTH Sections. The terms have their us” ~
meanings. 5/44
SECTION A (7 x 5= 35 marks)

Note: ALL questions of this section are COMPULSORY. Each
question of this section is of Five marks.

Q.1. Change the variables x, y, z to r, 8, @ by the equations,
x=rsin@cos¢,
y=rsin@sing,

z=rcos8@,

and evaluate the following integral
eof dx dy dz
(x2+y?"
156,18-19,,,1st,math,,,"+z7)
J . a ~
taken throughout the volume of the sphere .

x?"
157,18-19,,,1st,math,,,"+y* +27 =4

af

Page | of 4 P. T. O.

--- Page 2 ---
Q.7. Solve the partial differential equation:

G*z_ oz, az a
Ax?"
158,18-19,,,1st,math,,,ay?
159,18-19,,,1st,math,,,"* Sxay —Y

OR,

(D?"
160,18-19,,,1st,math,,,"+ 2DD' + D” ~2p- 2D') z = sin(x + 2y)

SECTION B (15 marks)
Note: Attempt ALL questions. Marks are shown against them.
Q.1. Solve the partial differential equation: (2)
d*z az

ax?"
161,18-19,,,1st,math,,,"* ayz = 2 cos x cos y

Q.2: If V; and V2 are the vectors joining the fixed points
(Xi, Yi, Z1) and (x2, y2, z2) respectively to a variable point
(X, y, Z); prove that,
div (V,; x V;)=0. (2)
Q.3. Solve the partial differential equation: ~
| (D — D' i 2)(D -D'-1)z= ext2y (2)

‘?"
162,18-19,,,1st,math,,,". ”.
where D == and D' = 2

Page 3 of 4 P.T.O.

--- Page 3 ---
Q.2. Evaluate using Beta and Gamma functions:

(@) Qx@-x)sdx —(o)f* =e.

Q.3. Examine the convergence of the following infinite series:

Q.4. Show that the vector
A= (6 xy + 2) o +(3x?"
163,18-19,,,1st,math,,,"— 2) jf + (8xz* — y)k
is irrotational. Also, find the scalar potential g such that
A= Ve
Q.5. Prove that: div (grad r®) = V2"" =p (n+1)r""-2
where, F=xif+ yf+zkand r= 7'|. Also show that,
v2(2)=0
_ Q.6. Verify Gauss’ Divergence theorem for
F=4xzf- y+ yk

‘taken over the cube bounded by the planes x = 6° x = l,
y=0, y=1,z=Oandz= |.

Page 2 of 4 P. T.O.?"
164,14-15,,,1st,math,,,"--- Page 1 ---
21:44 - a
40 Q@ ¥ x

2° March

University Roll No.-———_-——_———————
Ul Mid Term Examination, 2014-15

Mathematics - Il Paper Code — AHM 102
Time: - 90 Min. Max. Marks:-20
Section - A
Note: Attempt All Questions. (1x5 = 05 Marks).

1) A particle moves on the curve x= 2t,y = P-4t, z= 3t-5 where t is the
time. Find its speed at t = 1.

2) If F andG are irrotational, show that F XG is solenoidal.

3) Find a vector in the direction in which F(x, y,z)=2xyz"" decreases
most rapidly at the point P (1,0,3)

4) A particle moves so that its position vector is given by
’ = cos@ti +sin ot.j.Find the angle between velocity ¥ of the

particle and position vector r .

5) Find ‘a,’ in the Fourier series of the
-k if -7<x<0

functi x)=
on f(x) . if O<x<a

Section -B
Note: Attempt Any Three questions. (3x2 = 6 Marks)

1) Show that the gradient field describing a motion is irrotational.

2) Find directional derivative of (x, y.z)=x""yz +4xz"" at the point
P(1,-2,-1) in the direction v = 27 -— j-2k.
3) Pind the angle between the — surfacesx’ + y?"
165,14-15,,,1st,math,,,"+z” =9 and

x?"
166,14-15,,,1st,math,,,+ y?
167,14-15,,,1st,math,,,"—z=3at the point (2,-1,2).

4) Evaluate fF dr by Stoke’s theorem,where F=y' +x°j—(x+ z)k

- A is the boundary of the triangle with vertices at (0,0,0),(2,0,0),

Section - C
Note: Attempt Any Three questions. (3x3 = 9 Marks)

1) Prove that: div(gradr"") = n(n+1)r”?"
168,14-15,,,1st,math,,,"where F = xityj+ zk.

2) Vector field is given A=(y+z)i+(zex)j+(xt yk. Show
that the field is irrotational and find the scalar potential.

3) Verify Green's theorem in the plane for f(x’ + xy)dr+ (x?"
169,14-15,,,1st,math,,,"+y"")dy
where C is the square formed by the line x = +1 and y= +1

4) Obtain the Fourier series for f(x)= x7, for — < xSz.

Tl D4?"
170,12-13,,,1st,math,,,"--- Page 1 ---
SET-(C)
GLA University, Mathura
il- Mid Term Examination, 2012-2013

Course: - B.Tech. 1 Year, tl -Sem.
Subject: - Mathematics-il (AHM-102) Uni. Roll No:-
Time: - 1 Hrs. 30 Minutes Total Marks: - 20
Notes:-

1) Attempt ALL groups. ;
2) ALL questions of group A are compulsory. Attempt ANY TWO questions from Group B and

ANY TWO questions from Group C.
3) All questions of a group should be answered at one place.
4) Answer should be brief and to-the-point.
5) Any missing or wrong data may be assumed suitably giving proper justification.
6) Figures on the right-hand side margin indicate full marks.

Section —A (0.5 x 8 = 4 marks)
Q.1 A general solution of second order partial differential equation 4u ,.— u, = Ois of the
form u(x, y) =
* fixt4y)* e(x-4y)  * fl4xty)+ g(4x-y)  * fix) + ety) * fet2y)+ g(x - 2y)

Q.2 The P.D.E. yu, +x u = Ois hyperbolic in

* TL and HI quadrant * 1 and IJI quadrant *Iland IV quadrant = * | and LI quadrant
Q.3 A general solution of second order partial differential equation D” z=0 is z=

*fod+ye(x)  *fly)+xely) —* fix) + gy) * fly) + ety)

Q.4 A general solution of second order partial differential equation (Db! *+a*)z=0

*z=y k’+a’=0 *z=y h’+a*=0

*z=d Ae"" where k’+a*=0 *z=> Ae“ where h'+a°=0

Q.5 P.1 of the equation (D’ — 2D D'+ D"")z = e**”’?"
171,12-13,,,1st,math,,,x lv?
172,12-13,,,1st,math,,,I lxely : ve?
173,12-13,,,1st,math,,,x lew?
174,12-13,,,1st,math,,,"lx+2 x lee, ely

—e , S ow e * ——e , $ a e

4 2 2

Q.6 The P.D.E. Au, +2Bu..+Cu, =0 iselliptic if

*B’-4AC=0 *B’?"
175,12-13,,,1st,math,,,"-AC<O0 *B’-4AC<0* B’-4AC>0

Q.7 Partial differential equation of one dimensional heat equation is

* =
uy, +u,, =1

Q.8 Inone dimensional heat flow , the condition on temperature is
* temperature increases as time increases * temperature remains always non zero at all times

* temperature decreases as distance increases * temperature decreases as time increases

(2*3 =6 marks)
Attempt any two Questions.
Q.1 Solve the partial differential equation 2s+¢-3 q = Scos(3x-2y)
Q.2 Solve the partial differential equation p +3 q =5z+tan (vy —3x)

Q.3 Solve the partial differential equation (4D?"
176,12-13,,,1st,math,,,"~ 4D D’ + D”)z = 16 log(x+2y)

(2x5=10 marks)

Attempt any two Questions.
Q.1 Using the method of separation of variables solve the partial differential equation

given that u(x,0) = 3e°""-e~*

Q. 2 Solve the partial differential equation
(D’ + DD'-6 D”)z= x’ sin(x+y)

a o a
Q.3 Solve the equation ed = ee . under the conditions
t Ox

u(0,1)= 0 and u(i,t)=0,

= =0, when 1=0, u(x,0) = 9sin 22% O<x<l
cl?"
177,18-19,,,1st,math,,,"--- Page 1 ---
FIRST Term Odd Semester Examination, 2018-19
B.Tech. (I Year) — Semester —I
Subject: - Engineering Mathematics I (BMAS 0101)

Time: 1 Hour | Max. Marks: 15
| Section-A
Note: Attempt ALL Questions. | (2x3=6 marks)
Q.1 (a) If u(x, y) =sin™ : + tan"" © , Using Euler’s theorem, prove that
x + ye =0
(b) Find the asymptotes’ parallel to the axes for the curve xy” =a*(x?"
178,18-19,,,1st,math,,,"+y*)

Q.2 Expand e* cosy in powers of x and y as far as terms of third degree.
Q.3. (a) tf x” + y* =c, find 2 using partial derivatives.

(b) Discuss the nature of double points at origin to the curve y*(a+x) =x"" Ga-x).
Section—B
Note: Attempt ALL Questions. (3 x 3=9 marks)
Q.1. The pressure P at any point (x, y, z) in space is P = 40Qxyz’. Find the highest
pressure at the surface of a unit sphere x” + y?"
179,18-19,,,1st,math,,,"+z* =1
Q.2. Ifu=x+y+z, v=x—y+z andw=x* + y* +z” —2yz, prove that u, v, w are
not Independent .Also Find the relation between them.

on: =~(xlog ex)’; ‘a’ is a constant.
axdy :

Q.3 If x*y’z* =a Show that atx =y =z,?"
180,12-13,,,1st,math,,,"--- Page 1 ---
GLA University, Mathura Set- B
Mid- Term | Examination, 2012-13
Course: - B.Tech. 1-Year, I-Sem.
ect: - Mathematics -1 (-AHM-101) Uni. Roll No:-
-IHOUR 30 Minutes Total Marks:-20

1) Attempt ALL questions of Section- A, ANY TWO from Section- B ,and ANY TWO from Section- C.
2) All parts of a question (a, b, etc.) should be answered at one place.
3) Answer should be brief and to-the-point and be supplemented with neat sketches.
4) Any missing or wrong data may be assumed suitably giving proper justification.
5) Figures on the right-hand side margin indicate full marks.

Section:-A (8x 5=4)
10.1 n"" derivative of 4° is
* None of these « 4* + 4 log4 * 4* (log 4)”

).2 If y= xe“ then y, at x=Ois

* | * nm *ne* * 0

vie

y.3 If u=(x?"
181,12-13,,,1st,math,,,+y?
182,12-13,,,1st,math,,,") the value of x7 uy +2XyUy +y7Uy is

* a * =y io 2, * 2
3 9 9
Q.4 For an implicit function f(x,y) =c¢ , a is equal to
. 0 + I, . * te * fy
FA I, FA

0.5 IfJ, is Jacobian of u,v with respect to x,y and J2 is Jacobian of x,y with respect to u,v then
heh *hh=-1 | ‘ih =1 ‘Ih =0 |
Ifu, v, ware functions of x,y,z then necessary condition for existence of functional relation between

u,V,w is
*J(u,v,w) # 1 * J(u,v.w) = 0 *J(uv,w) #0 * J(u ww) = 1
).7 The sufficient conditions for function f( x., y ) = 0 attains a relative maximum at ( a, b) is

* None of these * rt-s’ >0,r<0 * rt-s’ >0,r>0 * ri-s?"
183,12-13,,,1st,math,,,"<0,r<0

8. A point where function is neither maximum nor minimum is called

* Critical points * Shaddle point * Ordinary point * Simple point

Section:-B
Attempt any two of the followings . (2*x3=6)

QI. A rectangular box open at the top is to have a given capacity, Find the
dimensions of the box requiring least material for its construction .

4 . , Gu Cu Ou
2iIf v= *_=Y *?"
184,12-13,,,1st,math,,,"| Prove that xe + yt 42 23
Q oe © +p?"
185,12-13,,,1st,math,,,+2?
